iter	Passed	Remaining
0	329	329428
1	440	219986
2	691	229796
3	826	205888
4	947	188579
5	1050	174057
6	1142	162085
7	1242	154061
8	1331	146665
9	1412	139870
10	1483	133347
11	1549	127562
12	1611	122352
13	1676	118074
14	1741	114359
15	1815	111632
16	1894	109541
17	1972	107620
18	2046	105656
19	2123	104048
20	2205	102808
21	2275	101166
22	2343	99549
23	2419	98387
24	2489	97071
25	2560	95904
26	2634	94928
27	2717	94345
28	2788	93352
29	2864	92610
30	2955	92392
31	3053	92365
32	3183	93273
33	3287	93407
34	3372	92990
35	3460	92663
36	3543	92237
37	3630	91900
38	3724	91774
39	3801	91225
40	3883	90828
41	3971	90578
42	4037	89866
43	4118	89493
44	4188	88879
45	4253	88207
46	4314	87481
47	4383	86945
48	4453	86429
49	4518	85859
50	4586	85347
51	4652	84810
52	4719	84335
53	4789	83912
54	4857	83461
55	4920	82941
56	4984	82468
57	5064	82259
58	5152	82184
59	5246	82199
60	5322	81924
61	5391	81575
62	5455	81141
63	5517	80694
64	5575	80198
65	5641	79841
66	5707	79483
67	5764	79006
68	5824	78582
69	5889	78242
70	5944	77777
71	6004	77388
72	6058	76932
73	6123	76624
74	6181	76235
75	6242	75892
76	6307	75612
77	6368	75276
78	6421	74868
79	6484	74567
80	6541	74220
81	6604	73934
82	6663	73619
83	6724	73332
84	6790	73094
85	6854	72851
86	6920	72628
87	6988	72422
88	7051	72179
89	7106	71855
90	7164	71565
91	7229	71348
92	7323	71424
93	7433	71650
94	7556	71983
95	7684	72361
96	7774	72373
97	7874	72474
98	7973	72566
99	8066	72597
100	8154	72583
101	8254	72670
102	8362	72828
103	8447	72781
104	8539	72787
105	8613	72649
106	8676	72411
107	8746	72240
108	8813	72047
109	8881	71862
110	8947	71662
111	9012	71457
112	9098	71415
113	9184	71380
114	9277	71398
115	9341	71190
116	9426	71138
117	9515	71125
118	9599	71071
119	9674	70945
120	9755	70869
121	9821	70683
122	9888	70506
123	9959	70362
124	10031	70217
125	10125	70238
126	10212	70199
127	10276	70011
128	10341	69824
129	10408	69660
130	10472	69470
131	10535	69280
132	10591	69043
133	10652	68843
134	10707	68608
135	10764	68389
136	10831	68231
137	10888	68016
138	10945	67796
139	11007	67615
140	11064	67409
141	11119	67184
142	11180	67004
143	11238	66809
144	11303	66650
145	11371	66512
146	11441	66391
147	11515	66289
148	11587	66182
149	11668	66121
150	11748	66056
151	11818	65937
152	11880	65771
153	11952	65661
154	12006	65453
155	12070	65305
156	12136	65168
157	12215	65095
158	12287	64994
159	12362	64903
160	12426	64754
161	12495	64635
162	12567	64531
163	12664	64557
164	12765	64602
165	12852	64573
166	12944	64565
167	13028	64521
168	13091	64374
169	13159	64248
170	13218	64081
171	13277	63919
172	13334	63742
173	13396	63593
174	13463	63471
175	13537	63378
176	13606	63264
177	13674	63149
178	13759	63109
179	13826	62987
180	13894	62871
181	13958	62735
182	14024	62611
183	14090	62489
184	14153	62349
185	14224	62252
186	14304	62189
187	14388	62145
188	14456	62033
189	14522	61912
190	14631	61971
191	14772	62169
192	14866	62162
193	14966	62180
194	15056	62158
195	15150	62149
196	15223	62052
197	15319	62050
198	15446	62172
199	15548	62193
200	15639	62169
201	15746	62205
202	15844	62207
203	15917	62108
204	16000	62049
205	16082	61986
206	16174	61964
207	16264	61929
208	16359	61914
209	16464	61936
210	16563	61935
211	16631	61817
212	16698	61697
213	16765	61579
214	16865	61578
215	16965	61579
216	17042	61492
217	17110	61378
218	17178	61263
219	17254	61175
220	17323	61064
221	17397	60969
222	17472	60880
223	17541	60770
224	17605	60642
225	17671	60519
226	17726	60363
227	17789	60234
228	17853	60108
229	17910	59961
230	17971	59827
231	18034	59702
232	18092	59558
233	18154	59427
234	18207	59270
235	18258	59108
236	18315	58966
237	18374	58828
238	18438	58708
239	18518	58642
240	18595	58564
241	18678	58506
242	18767	58464
243	18835	58357
244	18896	58231
245	18954	58094
246	19014	57968
247	19076	57843
248	19136	57717
249	19199	57599
250	19252	57451
251	19311	57322
252	19374	57204
253	19432	57071
254	19485	56928
255	19556	56835
256	19617	56716
257	19693	56637
258	19765	56549
259	19836	56456
260	19901	56349
261	19970	56252
262	20031	56132
263	20094	56022
264	20163	55924
265	20230	55824
266	20295	55717
267	20362	55617
268	20437	55537
269	20510	55453
270	20575	55349
271	20641	55245
272	20712	55156
273	20789	55084
274	20842	54948
275	20909	54849
276	20976	54749
277	21037	54637
278	21110	54554
279	21178	54459
280	21258	54393
281	21326	54299
282	21406	54234
283	21470	54129
284	21536	54029
285	21590	53899
286	21649	53785
287	21709	53669
288	21761	53539
289	21819	53421
290	21902	53363
291	21991	53321
292	22083	53286
293	22168	53235
294	22251	53177
295	22325	53098
296	22399	53020
297	22470	52932
298	22555	52880
299	22650	52850
300	22740	52809
301	22835	52778
302	22919	52721
303	22997	52651
304	23078	52588
305	23161	52529
